CODE_PRODUIT;CODE_SITE_ORIGINE;CODE_SITE_DESTINATION;QUANTITE_TRANSFEREE
CO0100;D416;D302;3351
CO0100;D637;D314;220
CO0100;D658;D300;559
CO0100;D662;D314;489
CO0100;D685;D604;1193
CO0100;D707;D639;1439
CO0100;D204;D302;2751
CO0100;D668;D631;224
CO0100;D525;D316;1797
CO0100;D014;D300;1881
CO0100;D708;D316;809
CO0100;D661;D314;2761
CO0100;D205;D143;202
CO0100;D640;D300;767
CO0100;D018;D503;2077
CO0100;D419;D631;606
CO0100;D650;D061;87
CO0100;D652;D300;2014
CO0100;D441;D300;195
CO0100;D663;D300;983
CO0100;D106;D302;2363
CO0100;D678;D639;2007
CO0100;D632;D631;1119
CO0100;D501;D503;1469
CO0100;D114;D143;1968
CO0100;D464;D303;2576
CO0100;D033;D026;555
CO0100;D209;D143;924
CO0100;D109;D143;839
CO0100;D015;D503;798
CO0100;D636;D651;230
CO0100;D220;D302;210
CO0100;D709;D710;638
CO0100;D281;D314;761
CO0100;D279;D604;51
CO0100;D271;D300;884
CO0100;D287;D300;424
CO0100;D283;D314;1367
CO0100;D272;D061;1535
CO0100;D659;D300;3329
CO0100;D617;D648;3883
CO0100;D065;D026;1245
CO0100;D016;D026;1704
CO0100;D105;D310;2955
CO0100;D012;D302;280
CO0100;D038;D026;606
CO0100;D424;D143;1394
CO0100;D680;D300;1360
CO0100;D679;D639;3977
CO0100;D153;D314;1298
CO0100;D665;D300;70
CO0100;D426;D300;1253
CO0100;D472;D143;820
CO0100;D622;D626;2200
CO0100;D622;D300;2200
CO0100;D445;D302;111
CO0100;D008;D310;712
CO0100;D017;D310;806
CO0100;D098;D303;167
CO0100;D062;D010;152
CO0100;D507;D303;124
CO0100;D625;D503;3532
CO0100;D104;D216;908
CO0100;D212;D310;1600
CO0100;D213;D302;1546
CO0100;D037;D631;583
CO0100;D226;D302;12
CO0100;D200;D302;582
CO0100;D646;D314;644
CO0100;D675;D300;2752
CO0100;D218;D302;1154
CO0100;D116;D300;3259
CO0100;D682;D314;2705
CO0100;D418;D300;916
CO0100;D041;D026;720
CO0100;D635;D632;2735
CO0100;D115;D440;931
CO0100;D683;D314;156
CO0100;D711;D702;73
CO0100;D225;D310;348
CO0100;D476;D300;391
CO0100;D046;D310;1756
CO0100;D126;D143;1826
CO0100;D439;D300;4547
CO0100;D477;D300;517
CO0100;D068;D303;1818
CO0100;D442;D300;1789
CO0100;D108;D216;1644
CO0100;D056;D503;1501
CO0100;D644;D314;1173
CO0100;D007;D300;2735
CO0100;D049;D303;2723
CO0100;D656;D651;1502
CO0100;D628;D061;126
CO0710;D666;D630;9
CO0710;D662;D630;4
CO0710;D639;D630;13
CO0710;;D630;0
CO0700;D509;D508;165
CO0700;D066;D508;101
CO0700;D524;D508;76
CO0700;D107;D102;40
CO0700;D700;D707;187
CO0700;D100;D107;254
CO0700;D624;D061;167
CO0700;D647;D641;337
CO0700;D020;D022;85
CO0700;D402;D490;89
CO0700;D019;D022;1001
CO0700;D202;D102;275
CO0700;D404;D490;63
CO0700;D654;D314;304
CO0700;D605;D061;38
CO0700;D405;D490;305
CO0700;D063;D303;259
CO0700;D702;D707;136
CO0700;D021;D605;266
CO0700;D503;D022;157
CO0700;D032;D303;176
CO0700;D440;D305;104
CO0700;D513;D022;526
CO0700;D009;D022;898
CO0700;D119;D490;250
CO0700;D001;D303;386
CO0700;D742;D707;32
CO0700;D013;D303;390
CO0700;D157;D305;159
CO0700;D621;D604;1046
CO0700;D610;D604;705
CO0700;D517;D602;1085
CO0700;D201;D303;1113
CO0700;D642;D314;603
CO0700;D128;D107;351
CO0700;D615;D604;470
CO0700;D519;D022;485
CO0700;D034;D107;102
CO0700;D641;D314;271
CO0700;D067;D605;318
CO0700;D052;D022;505
CO0700;D666;D631;299
CO0700;D618;D657;76
CO0700;D601;D604;158
CO0700;D011;D022;109
CO0700;D520;D061;336
CO0700;D460;D462;91
CO0700;D626;D608;439
CO0700;D649;D314;228
CO0700;D667;D631;447
CO0700;D222;D201;427
CO0700;D703;D707;108
CO0700;D653;D314;612
CO0700;D672;D314;215
CO0700;D609;D061;1352
CO0700;D704;D707;131
CO0700;D053;D061;1031
CO0700;D504;D508;64
CO0700;D673;D657;206
CO0700;D002;D508;391
CO0700;D040;D008;223
CO0700;D616;D602;600
CO0700;D616;D061;600
CO0700;D110;D107;82
CO0700;D677;D608;451
CO0700;D706;D707;11
CO0700;D210;D303;209
CO0700;D035;D022;117
CO0700;D705;D707;417
CO0700;D003;D008;19
CO0700;D111;D112;127
CO0700;D514;D508;799
CO0700;D010;D022;144
CO0700;D643;D314;1354
CO0700;D674;D604;1360
CO0700;D671;D314;347
CO0700;D645;D314;636
CO0700;D676;D638;554
CO0700;D660;D314;411
CO0700;D044;D022;441
CO0700;D054;D022;458
CO0700;D627;D061;267
CO0700;D087;D022;99
CO0700;D606;D061;1207
CO0700;D223;D305;92
CO0700;D669;D314;629
CO0700;D074;D508;132
CO0700;D416;D303;808
CO0700;D637;D314;111
CO0700;D658;D657;216
CO0700;D662;D061;275
CO0700;D685;D061;46
CO0700;D611;D061;1156
CO0700;D204;D201;235
CO0700;D525;D022;644
CO0700;D014;D631;200
CO0700;D014;D614;200
CO0700;D708;D707;38
CO0700;D661;D314;880
CO0700;D502;D022;73
CO0700;D205;D112;125
CO0700;D018;D022;228
CO0700;D419;D490;83
CO0700;D652;D305;453
CO0700;D441;D305;267
CO0700;D663;D314;116
CO0700;D106;D303;204
CO0700;D678;D061;167
CO0700;D632;D631;396
CO0700;D501;D022;239
CO0700;D114;D112;237
CO0700;D464;D303;166
CO0700;D033;D303;33
CO0700;D209;D217;274
CO0700;D109;D201;312
CO0700;D015;D508;131
CO0700;D220;D303;609
CO0700;D709;D710;16
CO0700;D281;D314;68
CO0700;D271;D314;40
CO0700;D287;D314;17
CO0700;D283;D314;89
CO0700;D272;D490;514
CO0700;D228;D314;121
CO0700;D659;D314;463
CO0700;D006;D061;112
CO0700;D617;D604;652
CO0700;D065;D303;77
CO0700;D105;D112;199
CO0700;D012;D303;454
CO0700;D038;D303;83
CO0700;D424;D201;638
CO0700;D680;D657;53
CO0700;D679;D061;439
CO0700;D665;D314;232
CO0700;D426;D305;157
CO0700;D472;D217;338
CO0700;D622;D061;767
CO0700;D445;D102;477
CO0700;D008;D022;53
CO0700;D004;D061;54
CO0700;D633;D314;722
CO0700;D214;D303;229
CO0700;D031;D303;333
CO0700;D664;D061;384
CO0700;D017;D008;133
CO0700;D216;D462;130
CO0700;D062;D022;28
CO0700;D507;D303;63
CO0700;D625;D022;596
CO0700;D104;D201;687
CO0700;D212;D303;160
CO0700;D213;D303;359
CO0700;D037;D490;114
CO0700;D226;D201;40
CO0700;D200;D201;588
CO0700;D646;D314;43
CO0700;D675;D435;398
CO0700;D218;D201;33
CO0700;D116;D305;378
CO0700;D682;D314;732
CO0700;D418;D462;75
CO0700;D041;D303;152
CO0700;D635;D631;163
CO0700;D115;D305;106
CO0700;D512;D303;237
CO0700;D612;D061;1253
CO0700;D683;D314;33
CO0700;D225;D303;29
CO0700;D648;D314;70
CO0700;D476;D305;289
CO0700;D620;D061;931
CO0700;D143;D217;574
CO0700;D126;D305;438
CO0700;D439;D305;492
CO0700;D613;D061;1110
CO0700;D477;D305;103
CO0700;D629;D061;312
CO0700;D068;D303;228
CO0700;D442;D305;499
CO0700;D108;D201;135
CO0700;D511;D508;260
CO0700;D681;D061;675
CO0700;D056;D022;433
;D644;;0
