CODE_PRODUIT;CODE_SITE_ORIGINE;CODE_SITE_DESTINATION;QUANTITE_TRANSFEREE;COUT_UNITAIRE;COUT_TRANSFERT
CO0700;D111;D112;127;4.24;538.48
CO0700;D514;D508;799;4.24;3387.76
CO0700;D010;D022;144;4.24;610.56
CO0700;D643;D314;1354;5.89;7975.06
CO0700;D674;D604;1360;3.43;4664.8
CO0700;D671;D314;347;5.2;1804.4
CO0700;D645;D314;636;6.9;4388.4
CO0700;D676;D638;554;3.06;1695.24
CO0700;D660;D314;411;6.7;2753.7
CO0700;D044;D022;441;3.7;1631.7
CO0700;D054;D022;458;3.7;1694.6
CO0700;D627;D061;267;5.89;1572.63
CO0700;D087;D022;99;4.24;419.76
CO0700;D606;D061;1207;3.7;4465.9
CO0700;D223;D305;92;4.52;415.84
CO0700;D669;D314;629;5.2;3270.8
CO0700;D074;D508;132;4.24;559.68
CO0700;D416;D303;808;8.9;7191.2
CO0700;D637;D314;111;5.2;577.2
CO0700;D658;D657;216;3.06;660.96
CO0700;D662;D061;275;3.7;1017.5
CO0700;D685;D061;46;5.2;239.2
CO0700;D611;D061;1156;3.06;3537.36
CO0700;D204;D201;235;3.06;719.1
CO0700;D525;D022;644;5.2;3348.8
CO0700;D014;D631;200;4.24;848.0
CO0700;D014;D614;200;3.06;612.0
CO0700;D708;D707;38;7.98;303.24
CO0700;D661;D314;880;4.24;3731.2
CO0700;D502;D022;73;3.7;270.1
CO0700;D205;D112;125;3.7;462.5
CO0700;D018;D022;228;3.06;697.68
CO0700;D419;D490;83;3.06;253.98
CO0700;D652;D305;453;5.89;2668.17
CO0700;D441;D305;267;5.89;1572.63
CO0700;D663;D314;116;3.7;429.2
CO0700;D106;D303;204;7.98;1627.92
CO0700;D678;D061;167;6.7;1118.9
CO0700;D632;D631;396;3.43;1358.28
CO0700;D501;D022;239;4.52;1080.28
CO0700;D114;D112;237;3.06;725.22
CO0700;D464;D303;166;6.9;1145.4
CO0700;D033;D303;33;10.98;362.34
CO0700;D209;D217;274;3.43;939.82
CO0700;D109;D201;312;3.06;954.72
CO0700;D015;D508;131;4.24;555.44
CO0700;D220;D303;609;8.9;5420.1
CO0700;D709;D710;16;4.24;67.84
CO0700;D281;D314;68;3.7;251.6
CO0700;D271;D314;40;6.7;268.0
CO0700;D287;D314;17;;
CO0700;D283;D314;89;3.7;329.3
CO0700;D272;D490;514;3.43;1763.02
CO0700;D228;D314;121;0.0;0.0
CO0700;D659;D314;463;5.2;2407.6
CO0700;D006;D061;112;4.24;474.88
CO0700;D617;D604;652;11.31;7374.12
CO0700;D065;D303;77;9.24;711.48
CO0700;D105;D112;199;3.06;608.94
CO0700;D012;D303;454;10.04;4558.16
CO0700;D038;D303;83;10.04;833.32
CO0700;D424;D201;638;3.06;1952.28
CO0700;D680;D657;53;3.06;162.18
CO0700;D679;D061;439;5.2;2282.8
CO0700;D665;D314;232;5.2;1206.4
CO0700;D426;D305;157;4.24;665.68
CO0700;D472;D217;338;3.7;1250.6
CO0700;D622;D061;767;3.7;2837.9
CO0700;D445;D102;477;3.06;1459.62
CO0700;D008;D022;53;4.24;224.72
CO0700;D004;D061;54;3.7;199.8
CO0700;D633;D314;722;6.7;4837.4
CO0700;D214;D303;229;8.9;2038.1
CO0700;D031;D303;333;10.98;3656.34
